"","FID_","DATETIME_","LAT","LON","DEPTH","DTYPE","MAG","MTYPE","REF","LOCATION","NDEF","SXX","SYY","SZZ","STT","SXY","SXZ","SYZ","STX","STY","STZ","SDOBS","SMAJAX","SMINAX","STRIKE","SDEPTH","STIME","CONF","YEAR_","MONTH_","DAY_","HOUR_","MINUTE_","SECOND_","year_month","traffic_light","ID"
"1",0,2018-01-31,54.463,-117.5969,4,"f",1.93,"mly",0,"51 km WNW of Fox Creek, AB",10,0.9875,0.136,10.1393,0.1336,-0.0195,0.4682,0.0063,0.1123,0.0031,1.1342,0.8908,2.2838,0.8459,271.31,3.1878,0.36,0.683,2018,1,30,11,58,42,2018-01-01,"Green",1
"2",0,2018-02-02,54.2894,-117.0633,4,"f",1.56,"mly",0,"20 km SW of Fox Creek, AB",18,0.1478,0.0799,2.5391,0.0381,0.0098,0.059,-0.0207,0.0107,-0.0019,0.3054,0.8485,0.8874,0.6438,261.94,1.5955,0.19,0.683,2018,2,1,11,24,22,2018-02-01,"Green",2
"3",0,2018-02-02,54.3527,-117.5739,13,"f",1.53,"mly",0,"50 km W of Fox Creek, AB",9,0.5922,0.3653,1.4408,0.012,0.2299,0.5378,0.3677,0.0708,0.034,0.0724,0.7501,1.9701,1.0836,238.13,1.1626,0.08,0.683,2018,2,1,17,9,30,2018-02-01,"Green",3
"4",0,2018-02-07,53.903,-115.5736,7,"f",1.55,"mly",0,"29 km W of Mayerthorpe, AB",6,1.3179,1.1454,0.8801,0.035,0.2581,-0.7436,-0.152,-0.1196,-0.1844,0.0668,0.0609,2.8176,2.2508,234.24,0.7822,0.14,0.683,2018,2,6,2,49,34,2018-02-01,"Green",4
"5",0,2018-02-09,54.4678,-117.5814,4,"f",1.66,"mly",0,"51 km WNW of Fox Creek, AB",16,0.1956,0.0127,0.699,0.012,-0.0143,0.0652,-0.0465,0.0252,-0.0075,0.0846,0.7679,1.0191,0.2475,274.44,0.8348,0.1,0.683,2018,2,8,4,5,12,2018-02-01,"Green",5
"6",0,2018-02-14,54.2249,-116.643,4,"f",1.7,"mly",0,"23 km SSE of Fox Creek, AB",13,0.2234,0.1128,12.9435,0.0026,-0.0092,-0.4219,0.4113,-0.0105,0.0061,0.0646,0.7135,1.0879,0.769,274.7,3.6023,0.04,0.683,2018,2,13,19,17,3,2018-02-01,"Green",6
"7",0,2018-02-15,54.5125,-118.0037,10,"f",1.61,"mly",0,"59 km SW of Little Smoky, AB",8,4.8589,0.1214,15.0739,0.0309,0.0478,7.7777,0.0471,0.3723,-0.0127,0.5865,0.6022,5.065,0.799,269.42,3.868,0.16,0.683,2018,2,14,5,4,10,2018-02-01,"Green",7
"8",0,2018-02-15,54.49,-117.8561,3,"f",1.47,"mly",0,"52 km SW of Little Smoky, AB",10,0.4442,0.1718,3.8808,0.0466,-0.1542,-0.2388,0.0573,0.0367,-0.0311,0.3746,0.6634,1.647,0.7346,294.28,1.9721,0.19,0.683,2018,2,14,7,45,1,2018-02-01,"Green",8
"9",0,2018-02-15,54.5544,-117.9044,14,"f",2.06,"mly",0,"51 km SW of Little Smoky, AB",11,0.069,0.5714,0.6395,0.0037,0.1054,-0.0349,0.1534,0.002,0.0413,0.0149,0.6237,1.7688,0.502,11.38,0.6691,0.04,0.683,2018,2,14,13,43,49,2018-02-01,"Yellow",9
"10",0,2018-02-16,54.5049,-117.9701,10,"f",1.48,"mly",0,"58 km SW of Little Smoky, AB",14,0.2123,0.0401,0.692,0.0032,-0.0485,0.2481,-0.1076,0.0241,-0.0088,0.0329,0.7263,1.0899,0.38,284.71,0.8223,0.05,0.683,2018,2,15,6,28,27,2018-02-01,"Green",10
"11",0,2018-02-16,54.5197,-117.8878,11,"f",1.41,"mly",0,"52 km SW of Little Smoky, AB",13,0.692,0.232,1.628,0.0209,0.2021,0.8119,0.1404,0.1143,0.0452,0.1388,0.7904,2.0139,0.9069,249.35,1.2487,0.13,0.683,2018,2,15,7,37,29,2018-02-01,"Green",11
"12",0,2018-02-16,54.5602,-117.9163,12,"f",1.53,"mly",0,"52 km SW of Little Smoky, AB",12,2.482,1.0829,3.3768,0.0501,0.6527,2.239,0.9583,0.3258,0.1407,0.3018,0.687,3.8028,2.0879,248.49,1.7654,0.2,0.683,2018,2,15,8,15,49,2018-02-01,"Green",12
"13",0,2018-02-16,54.5533,-117.9293,14,"f",1.58,"mly",0,"53 km SW of Little Smoky, AB",13,0.8559,0.3478,0.7567,0.025,0.4148,0.3235,0.231,0.139,0.0742,0.0857,0.4807,2.397,0.7806,240.75,0.6428,0.15,0.683,2018,2,15,9,57,1,2018-02-01,"Green",13
"14",0,2018-02-16,54.5182,-117.9045,9,"f",1.55,"mly",0,"53 km SW of Little Smoky, AB",9,1.1948,1.4015,3.8965,0.0418,0.9741,1.529,0.8434,0.2096,0.2044,0.269,0.5029,3.4677,1.2969,41.97,1.8925,0.17,0.683,2018,2,15,12,6,52,2018-02-01,"Green",14
"15",0,2018-02-16,54.57,-117.9139,15,"f",1.42,"mly",0,"51 km SW of Little Smoky, AB",8,1.5515,1.2831,20.9264,0.2013,0.4867,3.2427,4.4409,0.4201,0.4113,1.9763,0.3956,3.1856,2.1949,232.71,4.5774,0.44,0.683,2018,2,15,12,8,18,2018-02-01,"Green",15
